State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Bihar,Madhubani,Jainagar,Onion,Medium,FAQ,29/07/2025,2300,2500,2400
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Bhindi(Ladies Finger)",Other,FAQ,29/07/2025,2000,2500,2500
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Bottle gourd",Other,FAQ,29/07/2025,1000,1000,1000
Gujarat,Sabarkantha,Meghraj,Wheat,Other,FAQ,29/07/2025,2550,2650,2650
Haryana,Gurgaon,Gurgaon,Apple,Other,Large,29/07/2025,6000,9000,8000
Haryana,Rewari,Rewari,Potato,Other,Non-FAQ,29/07/2025,1000,2000,1500
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),"Bitter gourd","Bitter Gourd",FAQ,29/07/2025,4500,5500,5000
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Mango,Dusheri,Medium,29/07/2025,2200,4500,3500
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Papaya,Other,Medium,29/07/2025,4800,5200,5000
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),"Sponge gourd","Sponge gourd",FAQ,29/07/2025,5500,6000,5700
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Apple,American,Medium,29/07/2025,4000,12000,6500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)","Mousambi(Sweet Lime)",Mousambi,Medium,29/07/2025,4500,5500,5000
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Pear(Marasebu),Other,Medium,29/07/2025,4000,6000,5000
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Potato,Other,FAQ,29/07/2025,1100,2000,1400
"Himachal Pradesh",Kangra,Palampur,Apple,Apple,Medium,29/07/2025,15000,18000,16500
"Himachal Pradesh",Kangra,Palampur,Brinjal,Brinjal,FAQ,29/07/2025,2500,3000,2700
"Himachal Pradesh",Kangra,Palampur,Cauliflower,Cauliflower,FAQ,29/07/2025,4500,5500,5000
"Himachal Pradesh",Kangra,Palampur,Garlic,Average,FAQ,29/07/2025,9000,12000,11000
"Himachal Pradesh",Kangra,Palampur,Mango,Dusheri,Medium,29/07/2025,2000,4000,3000
"Himachal Pradesh",Kangra,Palampur,Raddish,Raddish,FAQ,29/07/2025,1500,2000,1700
"Jammu and Kashmir",Srinagar,Parimpore,"Bottle gourd",Other,FAQ,29/07/2025,900,1100,1000
"Jammu and Kashmir",Srinagar,Parimpore,Brinjal,Other,FAQ,29/07/2025,1000,1200,1100
"Jammu and Kashmir",Srinagar,Parimpore,Capsicum,Other,FAQ,29/07/2025,3400,4000,3500
"Jammu and Kashmir",Srinagar,Parimpore,Coriander(Leaves),Other,FAQ,29/07/2025,5000,7000,6000
"Jammu and Kashmir",Srinagar,Parimpore,Onion,Nasik,FAQ,29/07/2025,2000,2400,2200
Kerala,Alappuzha,Harippad,Amphophalus,Other,FAQ,29/07/2025,5000,5500,5000
Kerala,Alappuzha,Harippad,"Banana - Green",Other,FAQ,29/07/2025,5000,5500,5000
Kerala,Alappuzha,Harippad,"Bhindi(Ladies Finger)",Other,FAQ,29/07/2025,4000,4500,4000
Kerala,Alappuzha,Harippad,"Bitter gourd",Other,FAQ,29/07/2025,5000,5500,5000
Kerala,Alappuzha,Harippad,Capsicum,Other,FAQ,29/07/2025,8000,8600,8000
Kerala,Alappuzha,Harippad,Cowpea(Veg),Other,FAQ,29/07/2025,4000,4500,4000
Kerala,Alappuzha,Harippad,Ginger(Green),Other,FAQ,29/07/2025,5000,5500,5000
Kerala,Alappuzha,Harippad,"Green Chilli",Other,FAQ,29/07/2025,4000,4500,4000
Kerala,Alappuzha,Harippad,Mango,Other,Medium,29/07/2025,5000,5500,5000
Kerala,Ernakulam,Piravam,"Bottle gourd",Other,FAQ,29/07/2025,4000,6000,5000
Kerala,Ernakulam,Piravam,Cauliflower,Other,FAQ,29/07/2025,4000,5000,4500
Kerala,Idukki,Kattappana,Capsicum,Other,FAQ,29/07/2025,8000,8800,8600
Kerala,Idukki,Kattappana,Carrot,Other,FAQ,29/07/2025,5500,6500,6000
Kerala,Idukki,Kattappana,Cucumbar(Kheera),Other,FAQ,29/07/2025,2700,2800,2800
Kerala,Idukki,Kattappana,Drumstick,Other,FAQ,29/07/2025,3400,3500,3500
Kerala,Idukki,Kattappana,Garlic,Other,FAQ,29/07/2025,12000,12000,12000
Kerala,Idukki,Kattappana,"Green Chilli",Other,FAQ,29/07/2025,4500,5800,5500
Kerala,Idukki,Kattappana,Lemon,Other,FAQ,29/07/2025,3400,4400,4000
Kerala,Idukki,Kattappana,Pumpkin,Other,FAQ,29/07/2025,2200,2300,2200
Kerala,Idukki,Kattappana,Tomato,Other,Non-FAQ,29/07/2025,4000,4500,4200
Kerala,Kollam,Sasthamkotta,Brinjal,Other,FAQ,29/07/2025,3000,3500,3200
Kerala,Kollam,Sasthamkotta,Cowpea(Veg),Other,FAQ,29/07/2025,6000,6500,6200
Kerala,Kottayam,Athirampuzha,Banana,"Banana - Ripe",Medium,29/07/2025,4800,5000,4900
Kerala,Kottayam,Athirampuzha,"Bitter gourd","Bitter Gourd",FAQ,29/07/2025,3400,3600,3500
Kerala,Kottayam,Athirampuzha,Cowpea(Veg),"Cowpea (Veg)",FAQ,29/07/2025,4800,5000,4900
Kerala,Kottayam,Athirampuzha,Drumstick,Drumstick,FAQ,29/07/2025,3000,3200,3100
Kerala,Kottayam,Athirampuzha,"French Beans (Frasbean)","French Beans (Frasbean)",FAQ,29/07/2025,4800,5000,4900
Kerala,Kottayam,Athirampuzha,Ginger(Green),"Green Ginger",FAQ,29/07/2025,8800,9000,8900
Kerala,Kottayam,Athirampuzha,"Green Chilli","Green Chilly",FAQ,29/07/2025,6400,6600,6500
Kerala,Kottayam,Athirampuzha,"Little gourd (Kundru)",Other,FAQ,29/07/2025,4800,5000,4900
